Time,Task,n_neighbors,Accuracy,F1 Score,Train Size,Features
2026-03-10 10:38:21,disease_Apple,3,0.8235294117647058,0.8156599668284532,2219,1864
2026-03-10 10:38:23,disease_Apple,5,0.8119747899159664,0.8026450505985145,2219,1864
2026-03-10 10:38:23,disease_Apple,7,0.8098739495798319,0.7963058482751944,2219,1864
2026-03-10 10:38:23,disease_Apple,9,0.8025210084033614,0.7850502111665097,2219,1864
2026-03-10 10:38:23,disease_Apple,11,0.8014705882352942,0.7852215210741145,2219,1864
2026-03-10 10:38:24,disease_Grape,3,0.8465955701394585,0.8410548220594237,2843,1864
2026-03-10 10:38:24,disease_Grape,5,0.8474159146841673,0.8409834402558009,2843,1864
2026-03-10 10:38:24,disease_Grape,7,0.85233798195242,0.8455277743524655,2843,1864
2026-03-10 10:38:24,disease_Grape,9,0.8465955701394585,0.8400521368817248,2843,1864
2026-03-10 10:38:25,disease_Grape,11,0.8490566037735849,0.8421717057669367,2843,1864
2026-03-10 10:38:25,disease_Peach,3,0.9323308270676691,0.9251631916981454,1859,1864
2026-03-10 10:38:25,disease_Peach,5,0.9323308270676691,0.9233227140646292,1859,1864
2026-03-10 10:38:25,disease_Peach,7,0.9285714285714286,0.9188053037109641,1859,1864
2026-03-10 10:38:25,disease_Peach,9,0.924812030075188,0.9131201960332586,1859,1864
2026-03-10 10:38:26,disease_Peach,11,0.918546365914787,0.9035545939570708,1859,1864
2026-03-10 10:38:26,disease_Potato,3,0.8250773993808049,0.8289287608858006,1506,1864
2026-03-10 10:38:26,disease_Potato,5,0.846749226006192,0.8477248657969583,1506,1864
2026-03-10 10:38:26,disease_Potato,7,0.8452012383900929,0.8444186437230263,1506,1864
2026-03-10 10:38:26,disease_Potato,9,0.8575851393188855,0.8552548957047447,1506,1864
2026-03-10 10:38:26,disease_Potato,11,0.8699690402476781,0.8679637689287085,1506,1864
2026-03-10 10:38:27,disease_Strawberry,3,0.902127659574468,0.8988358968662348,1095,1864
2026-03-10 10:38:27,disease_Strawberry,5,0.902127659574468,0.8972350969847841,1095,1864
2026-03-10 10:38:27,disease_Strawberry,7,0.9085106382978724,0.9037766784318728,1095,1864
2026-03-10 10:38:27,disease_Strawberry,9,0.8872340425531915,0.8792767237846945,1095,1864
2026-03-10 10:38:27,disease_Strawberry,11,0.8702127659574468,0.8588655581476605,1095,1864
2026-03-10 10:38:28,disease_Tomato,3,0.7173274596182085,0.7103764349575378,12712,1864
2026-03-10 10:38:31,disease_Tomato,5,0.7164096916299559,0.7083810968876567,12712,1864
2026-03-10 10:38:35,disease_Tomato,7,0.7061306901615272,0.6963653683372141,12712,1864
2026-03-10 10:38:38,disease_Tomato,9,0.6949339207048458,0.6850988982743198,12712,1864
2026-03-10 10:38:41,disease_Tomato,11,0.6863069016152716,0.6759694883258717,12712,1864
