Time,Task,C,Train_Acc,Test_Acc,F1
2026-03-10 00:19:43,Corn_(maize),0.001,0.9940652818991098,0.9195501730103807,0.9184623499069978
2026-03-10 00:19:44,Grape,0.001,0.9771368272951108,0.9220672682526662,0.9216557024177863
2026-03-10 00:19:46,Peach,0.001,0.9989247311827957,0.972396486825596,0.9728551469230332
2026-03-10 00:19:46,"Pepper,_bell",0.001,0.9988452655889145,0.9434724091520862,0.9435378504459702
2026-03-10 00:19:46,Potato,0.001,0.99800796812749,0.9396284829721362,0.9386413011434279
2026-03-10 00:19:47,Strawberry,0.001,0.9990875912408759,0.9744136460554371,0.9745233404319033
2026-03-10 00:19:47,Tomato,0.001,0.9543738200125865,0.8821585903083701,0.8820455556865793
2026-03-10 00:22:06,ROOT_PLANT_SPECIES,0.0001,0.8986662457580301,0.8873680333906212,0.8870410062868999
2026-03-10 00:24:15,Apple,0.0001,0.9653153153153153,0.9400630914826499,0.9402329089312216
2026-03-10 00:24:16,Cherry_(including_sour),0.0001,1.0,0.9982517482517482,0.9982524250816933
2026-03-10 00:24:16,Corn_(maize),0.0001,0.952893175074184,0.9057093425605537,0.9048623465790389
2026-03-10 00:24:17,Grape,0.0001,0.9402040098487513,0.9073010664479081,0.9060501888042087
2026-03-10 00:24:18,Peach,0.0001,0.9774193548387097,0.9623588456712673,0.9640563035152089
2026-03-10 00:24:18,"Pepper,_bell",0.0001,0.9618937644341802,0.9232839838492598,0.9232609873106525
2026-03-10 00:24:18,Potato,0.0001,0.9820717131474104,0.9318885448916409,0.9294519913021518
2026-03-10 00:24:19,Strawberry,0.0001,0.9735401459854015,0.9616204690831557,0.9620141800766036
2026-03-10 00:24:19,Tomato,0.0001,0.8985997482693517,0.8529735682819384,0.8530003718428717
2026-03-11 15:29:29,ROOT_PLANT_SPECIES,0.01,0.91718622576487,0.8943039528602995,0.8949074468147032
2026-03-11 15:30:13,Apple,0.001,0.9891891891891892,0.9463722397476341,0.9463769433641714
2026-03-11 15:30:14,Cherry_(including_sour),0.001,1.0,0.9982517482517482,0.9982524250816933
2026-03-11 15:30:14,Corn_(maize),0.001,0.9844213649851632,0.907439446366782,0.9072409815623051
2026-03-11 15:30:15,Grape,0.001,0.9676398170946183,0.9171452009844134,0.9168315202421881
2026-03-11 15:30:15,Peach,0.001,0.9978494623655914,0.9673776662484316,0.9682188259434902
2026-03-11 15:30:16,"Pepper,_bell",0.001,0.9919168591224018,0.9327052489905787,0.9328917418719298
2026-03-11 15:30:16,Potato,0.001,0.99800796812749,0.9380804953560371,0.937073099390658
2026-03-11 15:30:16,Strawberry,0.001,0.9990875912408759,0.9744136460554371,0.9745233404319033
2026-03-11 15:30:16,Tomato,0.0005,0.9104782882315922,0.854992657856094,0.8551354054713555
