Time,Task,n_estimators,max_depth,criterion,Accuracy,F1 Score,Train Size,Features
2026-03-09 22:24:37,disease_Corn_maize,100,20,gini,0.9420415224913494,0.94029861517067,2696,1864
2026-03-09 22:24:38,disease_Corn_maize,100,30,gini,0.9437716262975778,0.9420621381022782,2696,1864
2026-03-09 22:24:40,disease_Corn_maize,100,full,gini,0.9437716262975778,0.9420621381022782,2696,1864
2026-03-09 22:24:43,disease_Corn_maize,200,10,gini,0.9480968858131488,0.9471000676026495,2696,1864
2026-03-09 22:24:46,disease_Corn_maize,200,20,gini,0.9437716262975778,0.9420621381022782,2696,1864
2026-03-09 22:24:49,disease_Corn_maize,200,30,gini,0.9437716262975778,0.9419264857771507,2696,1864
2026-03-09 22:24:52,disease_Corn_maize,200,full,gini,0.9437716262975778,0.9419264857771507,2696,1864
2026-03-09 22:24:56,disease_Corn_maize,300,10,gini,0.9472318339100346,0.9458758040664899,2696,1864
2026-03-09 22:25:00,disease_Corn_maize,300,20,gini,0.9446366782006921,0.9427530616824895,2696,1864
2026-03-09 22:25:04,disease_Corn_maize,300,30,gini,0.9446366782006921,0.9427530616824895,2696,1864
2026-03-09 22:25:08,disease_Corn_maize,300,full,gini,0.9446366782006921,0.9427530616824895,2696,1864
2026-03-09 22:25:10,disease_Grape,50,10,gini,0.933552091878589,0.9339528749681889,2843,1864
2026-03-09 22:25:11,disease_Grape,50,20,gini,0.9319114027891715,0.9322125692080308,2843,1864
2026-03-09 22:25:12,disease_Grape,50,30,gini,0.9286300246103364,0.9288887061306849,2843,1864
2026-03-09 22:25:13,disease_Grape,50,full,gini,0.9286300246103364,0.9288887061306849,2843,1864
2026-03-09 22:25:15,disease_Grape,100,10,gini,0.9310910582444627,0.9314147413467212,2843,1864
2026-03-09 22:25:17,disease_Grape,100,20,gini,0.933552091878589,0.9339579258123871,2843,1864
2026-03-09 22:25:19,disease_Grape,100,30,gini,0.9343724364232978,0.9347728642654367,2843,1864
2026-03-09 22:25:21,disease_Grape,100,full,gini,0.9343724364232978,0.9347728642654367,2843,1864
2026-03-09 22:25:24,disease_Grape,200,10,gini,0.933552091878589,0.9339535091318473,2843,1864
2026-03-09 22:25:28,disease_Grape,200,20,gini,0.9376538146021329,0.9381123956313638,2843,1864
2026-03-09 22:25:32,disease_Grape,200,30,gini,0.9392945036915504,0.9396922570612811,2843,1864
2026-03-09 22:25:36,disease_Grape,200,full,gini,0.9392945036915504,0.9396922570612811,2843,1864
2026-03-09 22:25:41,disease_Grape,300,10,gini,0.9310910582444627,0.9315257313335611,2843,1864
2026-03-09 22:25:47,disease_Grape,300,20,gini,0.9360131255127153,0.9363520347474106,2843,1864
2026-03-09 22:25:53,disease_Grape,300,30,gini,0.9368334700574241,0.9371798638817035,2843,1864
2026-03-09 22:25:59,disease_Grape,300,full,gini,0.9368334700574241,0.9371798638817035,2843,1864
2026-03-09 22:25:59,disease_Peach,50,10,gini,0.9862155388471178,0.9861884727142107,1859,1864
2026-03-09 22:26:00,disease_Peach,50,20,gini,0.9862155388471178,0.9861334157856526,1859,1864
2026-03-09 22:26:00,disease_Peach,50,30,gini,0.9862155388471178,0.9861334157856526,1859,1864
2026-03-09 22:26:01,disease_Peach,50,full,gini,0.9862155388471178,0.9861334157856526,1859,1864
2026-03-09 22:26:02,disease_Peach,100,10,gini,0.9849624060150376,0.9849030179218825,1859,1864
2026-03-09 22:26:02,disease_Peach,100,20,gini,0.9837092731829574,0.9836122186557715,1859,1864
2026-03-09 22:26:03,disease_Peach,100,30,gini,0.9837092731829574,0.9836122186557715,1859,1864
2026-03-09 22:26:04,disease_Peach,100,full,gini,0.9837092731829574,0.9836122186557715,1859,1864
2026-03-09 22:26:06,disease_Peach,200,10,gini,0.9849624060150376,0.9849030179218825,1859,1864
2026-03-09 22:26:07,disease_Peach,200,20,gini,0.9849624060150376,0.9849030179218825,1859,1864
2026-03-09 22:26:09,disease_Peach,200,30,gini,0.9849624060150376,0.9849030179218825,1859,1864
2026-03-09 22:26:11,disease_Peach,200,full,gini,0.9849624060150376,0.9849030179218825,1859,1864
2026-03-09 22:26:13,disease_Peach,300,10,gini,0.9849624060150376,0.9849030179218825,1859,1864
2026-03-09 22:26:15,disease_Peach,300,20,gini,0.9849624060150376,0.9849030179218825,1859,1864
2026-03-09 22:26:18,disease_Peach,300,30,gini,0.9849624060150376,0.9849030179218825,1859,1864
2026-03-09 22:26:20,disease_Peach,300,full,gini,0.9849624060150376,0.9849030179218825,1859,1864
2026-03-09 22:26:21,disease_Pepper_bell,50,10,gini,0.9784656796769852,0.9784414567773753,1732,1864
2026-03-09 22:26:21,disease_Pepper_bell,50,20,gini,0.9784656796769852,0.9784158196435496,1732,1864
2026-03-09 22:26:22,disease_Pepper_bell,50,30,gini,0.9784656796769852,0.9784158196435496,1732,1864
2026-03-09 22:26:23,disease_Pepper_bell,50,full,gini,0.9784656796769852,0.9784158196435496,1732,1864
2026-03-09 22:26:24,disease_Pepper_bell,100,10,gini,0.9865410497981157,0.9865335900828616,1732,1864
2026-03-09 22:26:25,disease_Pepper_bell,100,20,gini,0.9784656796769852,0.9784158196435496,1732,1864
